,VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
788,1,26,0,1,1,0,1,1,San Juan de Lurigancho
789,1,1,0,0,1,0,0,1,San Juan de Lurigancho
1341,1,44,0,1,1,0,1,1,Villa Maria del Triunfo
2519,1,8,0,0,1,0,0,1,Villa El Salvador
2599,1,37,0,0,1,0,0,1,La Victoria
2846,1,42,0,1,1,0,1,1,Barranco
2937,1,42,0,1,1,0,1,1,Lima
2938,1,42,0,1,1,0,1,1,Lima
3029,1,16,0,0,1,0,0,1,Ate
3056,1,42,0,1,1,0,1,1,San Miguel
3135,1,12,0,0,1,1,0,1,San Martin de Porres
3142,1,9,0,0,1,1,0,1,San Miguel
3144,1,32,0,1,1,0,1,0,Santiago de Surco
3197,1,58,0,1,1,0,0,1,Comas
3227,1,21,0,0,1,0,1,1,Los Olivos
3229,1,17,0,0,1,1,0,1,La Molina
3230,1,17,0,0,1,1,0,1,La Molina
3231,1,15,0,0,1,1,0,1,La Molina
3232,1,15,0,0,1,1,0,1,La Molina
3259,1,20,0,0,1,0,0,1,Villa El Salvador
3260,1,22,0,1,1,0,0,1,San Miguel
3266,1,37,0,0,1,0,0,1,Comas
3299,1,32,0,0,1,0,1,0,Miraflores
3301,1,84,0,1,1,0,0,1,San Martin de Porres
3333,1,25,0,0,1,0,1,1,Lima
3351,1,40,0,1,1,0,0,1,La Molina
3376,1,56,0,1,1,0,1,1,San Borja
3736,1,84,0,1,1,0,0,1,San Juan de Lurigancho
3939,1,21,0,1,1,0,0,1,Ate
4288,1,24,0,0,1,0,1,0,Los Olivos
4404,1,11,0,0,1,0,0,1,Cieneguilla
4405,1,9,0,0,1,0,0,1,Cieneguilla
4729,1,30,0,0,1,0,0,0,San Borja
4821,1,27,0,0,1,0,0,1,Comas
4846,1,18,0,0,1,1,0,0,San Martin de Porres
4849,1,30,0,1,1,0,0,1,San Martin de Porres
4877,1,25,0,0,1,1,1,1,San Miguel
4910,1,45,0,1,1,0,0,0,Lince
4920,1,6,0,0,1,1,0,1,Lima
4936,1,27,0,1,1,0,0,0,San Martin de Porres
4964,1,23,0,0,1,0,0,1,San Martin de Porres
4989,1,6,0,0,1,1,0,1,San Juan de Miraflores
4993,1,14,0,0,1,1,0,1,San Martin de Porres
4995,1,24,0,1,1,0,0,1,San Martin de Porres
4996,1,5,0,0,1,1,0,1,San Martin de Porres
4997,1,3,0,0,1,1,0,1,San Martin de Porres
5006,1,20,0,1,1,0,0,0,San Juan de Lurigancho
5015,1,29,1,0,1,0,1,1,Lima
5026,1,15,0,0,1,1,0,1,San Martin de Porres
5120,1,26,0,1,1,0,1,1,San Martin de Porres
5137,1,46,0,1,1,0,0,0,Los Olivos
5138,1,4,0,0,1,1,0,1,Los Olivos
5149,1,41,0,1,1,0,1,1,San Martin de Porres
5185,1,18,0,0,1,0,0,0,San Juan de Lurigancho
5213,1,32,0,0,1,0,1,0,Pachacamac
5316,1,32,0,1,1,0,1,1,San Miguel
5318,1,8,0,0,1,1,0,1,San Miguel
5319,1,13,0,0,1,1,0,1,San Juan de Lurigancho
5329,1,23,0,1,1,0,0,1,San Martin de Porres
5381,1,21,0,1,1,0,1,0,Lima
5382,1,7,0,0,1,1,0,1,Santa Anita
5385,1,15,0,0,1,1,0,1,San Martin de Porres
5417,1,31,0,0,1,0,0,1,Comas
6101,1,10,0,0,1,1,0,1,Los Olivos
6115,1,48,0,1,1,0,0,1,Comas
6117,1,38,0,1,1,0,0,1,Carabayllo
6304,1,34,0,1,1,0,1,1,Carabayllo
6306,1,15,0,0,1,1,0,0,Carabayllo
6307,1,11,0,0,1,1,0,1,Independencia
6308,1,21,0,1,1,1,1,1,Carabayllo
6309,1,14,0,0,1,1,0,1,Carabayllo
6310,1,14,0,0,1,1,0,1,Carabayllo
6311,1,6,0,0,1,1,0,1,Carabayllo
6312,1,6,0,0,1,1,0,1,Carabayllo
6313,1,31,0,1,1,0,0,1,Carabayllo
6314,1,31,0,1,1,0,0,1,Carabayllo
6315,1,28,0,0,1,0,1,1,Carabayllo
6316,1,30,0,0,1,0,1,1,Comas
6318,1,32,0,1,1,0,0,1,Carabayllo
6319,1,12,0,0,1,1,0,1,Carabayllo
6320,1,12,0,0,1,1,0,1,Carabayllo
6321,1,8,0,0,1,1,0,1,Carabayllo
6322,1,8,0,0,1,1,0,1,Carabayllo
6323,1,42,0,1,1,0,1,0,Carabayllo
6324,1,37,0,1,1,0,1,0,Carabayllo
6325,1,36,0,1,1,0,1,0,Carabayllo
